date,vtec_n,vtec_mean,vtec_median,vtec_std,vtec_min,vtec_max,f107_obs,kp_mean,kp_max,ap,dst_mean,dst_min
2015-10-01,24,22.475,19.763,12.369,7.21,41.99,119.7,2.125,3.667,10.0,-9.7,-48.0
2015-10-02,24,15.461,14.605,4.168,9.474,23.184,107.4,2.625,3.667,12.0,-31.4,-40.0
2015-10-03,24,16.999,14.552,7.396,8.843,29.427,96.9,2.25,3.333,10.0,-29.6,-40.0
2015-10-04,24,15.747,13.804,7.624,6.878,27.609,88.3,3.042,4.333,17.0,-44.6,-63.0
2015-10-05,24,14.237,14.172,6.213,4.945,23.263,82.6,3.0,5.0,18.0,-36.3,-48.0
2015-10-06,24,14.45,11.832,7.99,5.858,29.283,81.4,3.167,4.333,18.0,-33.9,-52.0
2015-10-07,24,12.668,13.815,3.855,6.265,17.901,80.5,5.625,7.333,74.0,-75.1,-130.0
2015-10-08,24,13.275,11.67,7.287,4.593,28.856,79.7,4.875,5.667,45.0,-66.2,-97.0
2015-10-09,24,12.226,11.253,6.507,4.637,22.416,81.2,3.917,4.667,27.0,-48.4,-57.0
2015-10-10,24,12.086,12.094,5.606,5.899,21.962,81.4,2.375,3.333,11.0,-43.1,-56.0
2015-10-11,24,12.284,10.335,6.565,4.993,24.114,84.6,2.5,3.667,12.0,-35.6,-55.0
2015-10-12,24,13.831,13.454,6.217,5.914,24.671,89.1,3.292,5.0,21.0,-31.2,-52.0
2015-10-13,24,15.172,14.857,6.651,6.913,24.367,95.6,3.666,4.333,24.0,-35.0,-51.0
2015-10-14,24,13.606,12.255,6.563,5.867,26.085,100.7,3.5,4.333,21.0,-41.5,-53.0
2015-10-15,24,15.919,15.762,7.008,6.551,25.4,106.8,2.0,2.667,8.0,-25.6,-33.0
2015-10-16,24,16.385,15.525,8.296,5.569,28.611,109.1,1.583,2.667,6.0,-22.1,-35.0
2015-10-17,24,20.253,17.038,13.068,6.214,41.006,116.6,2.292,3.667,10.0,-15.5,-26.0
2015-10-18,24,22.278,19.543,12.763,7.457,44.475,119.5,3.25,4.667,19.0,-32.7,-56.0
2015-10-19,24,20.477,17.311,10.588,9.105,38.874,123.7,0.917,1.667,4.0,-21.6,-35.0
2015-10-20,24,22.452,21.018,12.583,7.975,44.794,122.8,2.125,2.667,8.0,-15.7,-22.0
2015-10-21,24,23.28,20.503,11.921,9.68,45.907,129.0,2.167,3.667,10.0,-9.2,-25.0
2015-10-22,24,22.643,21.18,11.409,8.867,40.189,120.5,1.167,2.0,4.0,-13.8,-23.0
2015-10-23,24,21.671,19.857,10.414,8.081,40.151,114.9,1.458,2.333,6.0,-8.8,-17.0
2015-10-24,24,21.651,20.701,10.077,6.963,38.525,106.3,1.958,3.667,9.0,-4.8,-20.0
2015-10-25,24,22.186,21.446,10.39,8.784,37.221,106.4,1.625,2.667,6.0,-2.0,-11.0
2015-10-26,24,18.759,16.591,8.456,8.854,34.607,106.2,0.25,0.667,1.0,-8.2,-16.0
2015-10-27,24,18.197,15.186,9.257,7.366,34.365,110.1,0.75,2.0,3.0,-9.8,-13.0
2015-10-28,24,19.256,15.862,10.25,7.351,39.471,112.2,0.167,1.0,1.0,-3.3,-9.0
2015-10-29,24,18.635,16.5,7.984,8.665,31.122,112.9,0.875,2.333,4.0,0.3,-13.0
2015-10-30,24,19.072,15.958,8.364,10.118,34.252,121.2,1.875,3.0,8.0,-10.9,-25.0
2015-10-31,24,17.729,16.7,7.457,8.267,31.065,118.5,1.375,2.667,6.0,-8.8,-16.0
2015-11-01,24,19.503,15.752,9.367,9.511,37.043,124.3,2.125,3.333,9.0,-23.8,-40.0
2015-11-02,24,18.358,16.252,8.651,8.939,34.55,122.0,0.917,2.667,4.0,-5.0,-14.0
2015-11-03,24,23.743,17.632,15.29,9.426,57.127,124.2,4.0,5.0,29.0,-18.4,-51.0
2015-11-04,24,19.701,14.922,10.722,8.49,41.258,113.8,3.875,5.333,30.0,-36.0,-56.0
2015-11-05,24,16.359,12.66,9.415,6.178,35.548,109.9,2.958,4.0,16.0,-31.0,-37.0
2015-11-06,24,15.252,13.883,7.717,6.391,29.675,115.2,2.708,4.333,14.0,-19.9,-32.0
2015-11-07,24,15.675,13.828,7.834,6.195,32.012,115.0,4.125,6.0,38.0,-60.2,-87.0
2015-11-08,24,15.948,12.674,9.645,4.994,35.459,107.7,2.417,4.333,14.0,-35.9,-50.0
2015-11-09,24,16.372,15.996,9.508,3.941,36.458,107.6,3.834,4.667,25.0,-44.4,-55.0
2015-11-10,24,15.815,12.88,8.788,5.313,30.104,105.4,4.458,5.333,37.0,-41.3,-56.0
2015-11-11,24,14.566,10.085,7.631,5.621,26.687,105.0,3.458,4.667,22.0,-29.7,-36.0
2015-11-12,24,15.222,11.778,8.702,5.289,31.911,103.5,0.958,1.667,4.0,-26.2,-35.0
2015-11-13,24,17.752,13.266,10.968,6.292,40.8,102.9,2.542,3.667,13.0,-17.8,-31.0
2015-11-14,24,18.814,14.952,10.102,8.452,38.173,106.3,2.042,3.0,8.0,-21.4,-30.0
2015-11-15,24,18.794,13.697,11.06,6.972,39.07,105.8,1.916,3.0,8.0,-9.5,-19.0
2015-11-16,24,22.475,17.084,15.801,6.256,53.877,105.6,2.667,3.333,12.0,-27.6,-38.0
2015-11-17,24,16.394,15.304,8.103,6.752,29.652,107.1,1.834,3.0,8.0,-12.8,-20.0
2015-11-18,24,18.171,15.935,10.015,7.745,39.088,107.6,2.625,5.0,15.0,-14.9,-34.0
2015-11-19,24,17.136,13.427,8.572,6.546,31.401,108.1,1.708,3.667,8.0,-19.7,-35.0
2015-11-20,24,17.887,16.829,9.374,7.13,36.449,111.0,0.917,2.333,4.0,-2.0,-11.0
2015-11-21,24,19.099,14.461,10.536,8.762,38.872,122.2,0.542,2.0,2.0,-5.4,-13.0
2015-11-22,24,16.385,14.593,7.5,7.513,30.41,122.9,0.333,0.667,2.0,-3.5,-11.0
2015-11-23,24,16.054,14.48,6.767,7.695,27.415,119.7,0.25,0.667,1.0,-0.4,-5.0
2015-11-24,24,15.63,13.372,6.923,7.106,28.093,113.2,0.0,0.0,0.0,2.4,-3.0
2015-11-25,24,15.696,13.186,6.306,8.726,25.78,109.0,0.0,0.0,0.0,9.1,5.0
2015-11-26,24,15.508,11.567,6.4,8.47,28.046,103.9,0.333,1.333,1.0,6.5,-7.0
2015-11-27,24,16.847,14.016,6.894,9.161,29.905,98.9,1.542,3.0,6.0,-4.5,-10.0
2015-11-28,24,16.658,12.857,7.805,8.031,30.609,96.6,1.542,2.667,6.0,4.5,-12.0
2015-11-29,24,14.251,11.389,6.467,5.984,25.881,95.5,1.875,3.0,8.0,-3.0,-15.0
2015-11-30,24,13.37,11.995,5.919,6.586,27.081,95.7,2.958,5.0,17.0,-17.5,-42.0
2015-12-01,24,12.982,12.226,5.98,6.319,24.608,94.6,2.667,3.667,13.0,-20.0,-34.0
2015-12-02,24,13.176,12.289,5.942,5.907,22.275,95.3,2.0,2.667,8.0,-22.2,-29.0
2015-12-03,24,12.327,10.861,4.784,6.633,20.294,94.5,0.833,1.333,4.0,-12.2,-21.0
2015-12-04,24,12.416,9.368,5.458,6.661,21.83,97.6,1.0,2.333,4.0,-8.1,-13.0
2015-12-05,24,13.062,13.021,4.831,6.814,21.485,100.5,2.75,3.667,14.0,-11.0,-21.0
2015-12-06,24,14.025,11.836,5.638,6.928,23.521,102.2,3.542,4.333,22.0,-22.8,-39.0
2015-12-07,24,13.101,10.252,5.679,7.402,22.788,100.7,3.375,3.667,19.0,-18.5,-25.0
2015-12-08,24,12.588,9.977,5.964,6.104,22.622,111.2,2.25,3.667,10.0,-17.8,-26.0
2015-12-09,24,12.448,10.541,5.689,6.376,22.927,108.8,1.875,3.333,8.0,-8.5,-14.0
2015-12-10,24,13.554,12.3,5.895,7.083,24.138,108.5,3.667,5.0,24.0,-14.0,-24.0
2015-12-11,24,14.376,14.2,6.216,6.798,23.953,113.7,3.333,4.333,19.0,-14.9,-23.0
2015-12-12,24,13.59,11.953,5.559,7.015,22.838,116.7,2.333,3.333,10.0,-15.4,-23.0
2015-12-13,24,14.07,11.36,6.598,6.92,25.835,122.5,1.625,2.667,7.0,-9.0,-16.0
2015-12-14,24,15.312,12.708,8.34,5.674,30.665,124.0,2.875,5.333,20.0,-17.3,-55.0
2015-12-15,24,13.897,11.609,6.985,5.746,24.484,118.9,2.833,4.667,16.0,-33.2,-47.0
2015-12-16,24,13.474,10.782,7.183,4.855,25.517,126.2,1.042,3.667,6.0,-22.0,-37.0
2015-12-17,24,13.509,11.939,7.492,5.084,27.179,117.8,1.375,3.667,6.0,-13.9,-27.0
2015-12-18,24,12.67,11.146,4.857,6.642,20.342,117.1,1.125,2.667,5.0,-14.1,-22.0
2015-12-19,24,13.012,11.655,5.813,6.004,22.208,119.0,1.833,4.0,10.0,-0.2,-18.0
2015-12-20,24,17.781,18.887,8.801,6.335,35.086,116.6,5.583,6.667,70.0,-73.1,-166.0
2015-12-21,24,14.236,12.117,6.798,4.971,25.564,121.7,3.875,6.667,38.0,-99.8,-159.0
2015-12-22,24,12.245,9.686,7.759,3.088,26.071,130.1,2.542,4.333,12.0,-42.1,-49.0
2015-12-23,24,13.327,13.018,7.085,4.979,24.371,133.9,2.292,3.333,9.0,-28.2,-39.0
2015-12-24,24,13.779,10.656,8.935,4.286,29.457,132.7,2.458,3.333,11.0,-17.8,-26.0
