start,end,Bz_min,duration_h
2015-01-03 00:40:00+00:00,2015-01-03 00:55:00+00:00,-10.28,0.25
2015-01-07 07:30:00+00:00,2015-01-07 07:50:00+00:00,-10.24,0.3333333333333333
2015-01-07 08:20:00+00:00,2015-01-07 08:40:00+00:00,-10.09,0.3333333333333333
2015-01-26 08:40:00+00:00,2015-01-26 09:10:00+00:00,-11.52,0.5
2015-01-26 09:55:00+00:00,2015-01-26 10:00:00+00:00,-10.9,0.08333333333333333
2015-02-01 23:50:00+00:00,2015-02-01 23:50:00+00:00,-10.13,0.0
2015-02-02 01:15:00+00:00,2015-02-02 01:15:00+00:00,-10.88,0.0
2015-02-02 01:25:00+00:00,2015-02-02 01:25:00+00:00,-10.88,0.0
2015-02-17 20:45:00+00:00,2015-02-17 20:50:00+00:00,-10.52,0.08333333333333333
2015-02-17 21:20:00+00:00,2015-02-17 21:25:00+00:00,-11.68,0.08333333333333333
2015-02-17 21:35:00+00:00,2015-02-17 21:50:00+00:00,-11.69,0.25
2015-02-23 12:00:00+00:00,2015-02-23 12:00:00+00:00,-10.26,0.0
2015-02-23 16:25:00+00:00,2015-02-23 16:25:00+00:00,-10.13,0.0
2015-02-24 01:10:00+00:00,2015-02-24 01:45:00+00:00,-11.58,0.5833333333333334
2015-02-24 01:55:00+00:00,2015-02-24 01:55:00+00:00,-10.54,0.0
2015-02-24 02:25:00+00:00,2015-02-24 02:25:00+00:00,-10.19,0.0
2015-02-24 02:35:00+00:00,2015-02-24 02:35:00+00:00,-10.49,0.0
2015-02-24 02:50:00+00:00,2015-02-24 03:00:00+00:00,-11.42,0.16666666666666666
2015-02-24 03:15:00+00:00,2015-02-24 03:15:00+00:00,-10.65,0.0
2015-03-16 02:30:00+00:00,2015-03-16 02:30:00+00:00,-10.15,0.0
2015-03-17 06:05:00+00:00,2015-03-17 06:30:00+00:00,-11.42,0.4166666666666667
2015-03-17 12:10:00+00:00,2015-03-17 12:15:00+00:00,-10.82,0.08333333333333333
2015-03-17 13:45:00+00:00,2015-03-17 14:05:00+00:00,-10.248095238095239,0.3333333333333333
2015-03-17 19:00:00+00:00,2015-03-17 19:00:00+00:00,-11.4,0.0
2015-03-17 22:20:00+00:00,2015-03-17 22:20:00+00:00,-11.25,0.0
2015-03-17 22:30:00+00:00,2015-03-17 22:50:00+00:00,-11.32,0.3333333333333333
2015-03-17 23:00:00+00:00,2015-03-17 23:10:00+00:00,-11.23,0.16666666666666666
2015-04-01 21:30:00+00:00,2015-04-01 21:30:00+00:00,-10.7,0.0
2015-04-09 23:40:00+00:00,2015-04-09 23:40:00+00:00,-10.06,0.0
2015-04-10 19:20:00+00:00,2015-04-10 19:20:00+00:00,-10.07,0.0
2015-04-10 19:30:00+00:00,2015-04-10 21:05:00+00:00,-11.72,1.5833333333333333
2015-04-10 21:25:00+00:00,2015-04-10 21:30:00+00:00,-10.46,0.08333333333333333
2015-04-10 23:15:00+00:00,2015-04-11 01:15:00+00:00,-11.32,2.0
2015-04-11 01:25:00+00:00,2015-04-11 01:30:00+00:00,-10.23,0.08333333333333333
2015-04-11 01:45:00+00:00,2015-04-11 01:55:00+00:00,-10.41,0.16666666666666666
2015-04-11 02:20:00+00:00,2015-04-11 02:20:00+00:00,-10.09,0.0
2015-04-11 02:30:00+00:00,2015-04-11 03:30:00+00:00,-10.96,1.0
2015-04-11 03:55:00+00:00,2015-04-11 03:55:00+00:00,-10.13,0.0
2015-04-14 14:10:00+00:00,2015-04-14 14:10:00+00:00,-10.06,0.0
2015-04-14 16:50:00+00:00,2015-04-14 16:50:00+00:00,-10.3,0.0
2015-04-14 22:05:00+00:00,2015-04-14 22:05:00+00:00,-10.02,0.0
2015-04-15 10:30:00+00:00,2015-04-15 10:30:00+00:00,-10.13,0.0
2015-04-15 13:05:00+00:00,2015-04-15 13:05:00+00:00,-10.11,0.0
2015-04-21 00:20:00+00:00,2015-04-21 00:20:00+00:00,-10.2,0.0
2015-05-06 02:25:00+00:00,2015-05-06 02:30:00+00:00,-10.92,0.08333333333333333
2015-05-06 13:05:00+00:00,2015-05-06 13:15:00+00:00,-10.95,0.16666666666666666
2015-05-06 15:00:00+00:00,2015-05-06 15:05:00+00:00,-10.79,0.08333333333333333
2015-05-06 15:55:00+00:00,2015-05-06 16:00:00+00:00,-11.28,0.08333333333333333
2015-05-10 23:15:00+00:00,2015-05-10 23:20:00+00:00,-10.25,0.08333333333333333
2015-05-10 23:30:00+00:00,2015-05-11 00:50:00+00:00,-11.19,1.3333333333333333
2015-05-11 01:00:00+00:00,2015-05-11 01:10:00+00:00,-10.19,0.16666666666666666
2015-05-11 01:50:00+00:00,2015-05-11 01:55:00+00:00,-10.1,0.08333333333333333
2015-05-13 05:10:00+00:00,2015-05-13 05:25:00+00:00,-11.67,0.25
2015-05-18 22:35:00+00:00,2015-05-18 22:40:00+00:00,-11.45,0.08333333333333333
2015-05-19 01:25:00+00:00,2015-05-19 01:45:00+00:00,-11.06,0.3333333333333333
2015-06-08 03:25:00+00:00,2015-06-08 03:25:00+00:00,-10.87,0.0
2015-06-08 05:40:00+00:00,2015-06-08 05:50:00+00:00,-10.83,0.16666666666666666
2015-06-08 07:00:00+00:00,2015-06-08 07:05:00+00:00,-10.31,0.08333333333333333
2015-06-22 07:10:00+00:00,2015-06-22 07:15:00+00:00,-10.66,0.08333333333333333
2015-06-22 14:10:00+00:00,2015-06-22 14:15:00+00:00,-11.28,0.08333333333333333
2015-06-22 15:05:00+00:00,2015-06-22 15:25:00+00:00,-11.24,0.3333333333333333
2015-06-22 18:45:00+00:00,2015-06-22 18:45:00+00:00,-10.47,0.0
2015-06-22 21:00:00+00:00,2015-06-22 21:00:00+00:00,-11.64,0.0
2015-06-23 00:50:00+00:00,2015-06-23 01:05:00+00:00,-11.37,0.25
2015-06-23 07:25:00+00:00,2015-06-23 07:25:00+00:00,-10.65,0.0
2015-06-23 08:30:00+00:00,2015-06-23 08:55:00+00:00,-11.6,0.4166666666666667
2015-06-23 11:00:00+00:00,2015-06-23 11:05:00+00:00,-11.24,0.08333333333333333
2015-06-23 11:30:00+00:00,2015-06-23 11:40:00+00:00,-10.95,0.16666666666666666
2015-06-23 11:50:00+00:00,2015-06-23 11:55:00+00:00,-10.74,0.08333333333333333
2015-06-25 08:45:00+00:00,2015-06-25 08:45:00+00:00,-10.44,0.0
2015-07-04 16:10:00+00:00,2015-07-04 16:10:00+00:00,-10.03,0.0
2015-07-04 18:10:00+00:00,2015-07-04 18:10:00+00:00,-10.29,0.0
2015-07-04 18:25:00+00:00,2015-07-04 18:30:00+00:00,-11.13,0.08333333333333333
2015-07-04 20:15:00+00:00,2015-07-04 20:35:00+00:00,-10.59,0.3333333333333333
2015-07-04 21:10:00+00:00,2015-07-04 21:15:00+00:00,-11.57,0.08333333333333333
2015-07-05 00:50:00+00:00,2015-07-05 01:10:00+00:00,-11.35,0.3333333333333333
2015-07-05 03:15:00+00:00,2015-07-05 03:40:00+00:00,-11.28,0.4166666666666667
2015-07-05 03:55:00+00:00,2015-07-05 04:00:00+00:00,-10.3,0.08333333333333333
2015-07-11 00:00:00+00:00,2015-07-11 00:05:00+00:00,-11.69,0.08333333333333333
2015-07-11 01:05:00+00:00,2015-07-11 01:10:00+00:00,-11.35,0.08333333333333333
2015-07-11 02:55:00+00:00,2015-07-11 02:55:00+00:00,-11.27,0.0
2015-07-23 04:40:00+00:00,2015-07-23 05:00:00+00:00,-10.88,0.3333333333333333
2015-07-23 05:15:00+00:00,2015-07-23 05:50:00+00:00,-10.8,0.5833333333333334
2015-07-23 06:00:00+00:00,2015-07-23 06:00:00+00:00,-10.39,0.0
2015-07-23 06:30:00+00:00,2015-07-23 06:35:00+00:00,-10.16,0.08333333333333333
2015-07-23 06:45:00+00:00,2015-07-23 07:05:00+00:00,-10.52,0.3333333333333333
2015-07-23 07:20:00+00:00,2015-07-23 07:35:00+00:00,-10.31,0.25
2015-07-23 07:45:00+00:00,2015-07-23 07:45:00+00:00,-10.17,0.0
2015-07-23 08:00:00+00:00,2015-07-23 08:00:00+00:00,-10.06,0.0
2015-08-15 10:55:00+00:00,2015-08-15 11:15:00+00:00,-11.318888888888889,0.3333333333333333
2015-08-15 11:40:00+00:00,2015-08-15 11:50:00+00:00,-11.38,0.16666666666666666
2015-08-15 12:10:00+00:00,2015-08-15 12:15:00+00:00,-10.75,0.08333333333333333
2015-08-23 07:05:00+00:00,2015-08-23 07:35:00+00:00,-11.73,0.5
2015-08-23 07:50:00+00:00,2015-08-23 07:50:00+00:00,-11.42,0.0
2015-08-27 01:25:00+00:00,2015-08-27 02:25:00+00:00,-10.37,1.0
2015-08-27 03:30:00+00:00,2015-08-27 04:05:00+00:00,-11.635,0.5833333333333334
2015-08-27 04:25:00+00:00,2015-08-27 04:25:00+00:00,-11.66,0.0
2015-08-27 06:10:00+00:00,2015-08-27 06:10:00+00:00,-10.3,0.0
2015-08-27 17:25:00+00:00,2015-08-27 19:40:00+00:00,-11.39,2.25
2015-08-27 20:25:00+00:00,2015-08-27 21:05:00+00:00,-11.67,0.6666666666666666
2015-08-27 21:40:00+00:00,2015-08-27 23:20:00+00:00,-11.59,1.6666666666666667
2015-08-27 23:45:00+00:00,2015-08-27 23:55:00+00:00,-11.65,0.16666666666666666
2015-08-28 02:30:00+00:00,2015-08-28 02:50:00+00:00,-11.456363636363637,0.3333333333333333
2015-08-28 05:15:00+00:00,2015-08-28 06:10:00+00:00,-11.75,0.9166666666666666
2015-08-28 06:20:00+00:00,2015-08-28 06:25:00+00:00,-10.33,0.08333333333333333
2015-08-28 06:35:00+00:00,2015-08-28 06:55:00+00:00,-10.73,0.3333333333333333
2015-08-28 07:10:00+00:00,2015-08-28 08:10:00+00:00,-11.56,1.0
2015-08-28 08:40:00+00:00,2015-08-28 09:20:00+00:00,-10.81,0.6666666666666666
2015-08-28 09:45:00+00:00,2015-08-28 10:30:00+00:00,-11.67,0.75
2015-08-28 12:05:00+00:00,2015-08-28 12:20:00+00:00,-10.9,0.25
2015-08-28 13:30:00+00:00,2015-08-28 13:35:00+00:00,-10.74,0.08333333333333333
2015-08-28 14:30:00+00:00,2015-08-28 14:35:00+00:00,-10.58,0.08333333333333333
2015-08-28 15:05:00+00:00,2015-08-28 15:10:00+00:00,-10.92,0.08333333333333333
2015-08-28 15:25:00+00:00,2015-08-28 15:25:00+00:00,-10.77,0.0
2015-08-28 15:50:00+00:00,2015-08-28 17:15:00+00:00,-11.59,1.4166666666666667
2015-09-03 23:25:00+00:00,2015-09-03 23:25:00+00:00,-10.45,0.0
2015-10-07 16:00:00+00:00,2015-10-07 16:00:00+00:00,-10.31,0.0
2015-10-07 17:25:00+00:00,2015-10-07 17:35:00+00:00,-11.32,0.16666666666666666
2015-10-07 18:05:00+00:00,2015-10-07 18:05:00+00:00,-10.38,0.0
2015-10-07 19:30:00+00:00,2015-10-07 19:30:00+00:00,-10.46,0.0
2015-10-07 20:10:00+00:00,2015-10-07 20:10:00+00:00,-10.69,0.0
2015-10-18 07:05:00+00:00,2015-10-18 07:05:00+00:00,-10.12,0.0
2015-11-03 01:30:00+00:00,2015-11-03 01:30:00+00:00,-10.09,0.0
2015-11-03 09:05:00+00:00,2015-11-03 09:05:00+00:00,-10.16,0.0
2015-11-06 23:20:00+00:00,2015-11-06 23:20:00+00:00,-10.37,0.0
2015-11-07 03:35:00+00:00,2015-11-07 03:35:00+00:00,-10.77,0.0
2015-11-07 07:15:00+00:00,2015-11-07 07:40:00+00:00,-11.0,0.4166666666666667
2015-11-07 08:20:00+00:00,2015-11-07 09:15:00+00:00,-10.93,0.9166666666666666
2015-11-07 09:30:00+00:00,2015-11-07 09:35:00+00:00,-10.19,0.08333333333333333
2015-11-07 11:20:00+00:00,2015-11-07 11:30:00+00:00,-10.66,0.16666666666666666
2015-11-07 11:45:00+00:00,2015-11-07 11:45:00+00:00,-10.06,0.0
2015-11-07 12:00:00+00:00,2015-11-07 12:15:00+00:00,-11.29,0.25
2015-11-28 12:20:00+00:00,2015-11-28 12:20:00+00:00,-10.25,0.0
2015-11-28 20:40:00+00:00,2015-11-28 21:05:00+00:00,-11.48,0.4166666666666667
2015-11-30 08:20:00+00:00,2015-11-30 08:25:00+00:00,-10.62,0.08333333333333333
2015-12-14 15:55:00+00:00,2015-12-14 15:55:00+00:00,-10.19,0.0
2015-12-14 16:05:00+00:00,2015-12-14 16:30:00+00:00,-11.58,0.4166666666666667
2015-12-14 17:05:00+00:00,2015-12-14 17:15:00+00:00,-11.41,0.16666666666666666
2015-12-14 21:05:00+00:00,2015-12-14 21:05:00+00:00,-10.64,0.0
2015-12-20 07:10:00+00:00,2015-12-20 08:20:00+00:00,-11.66,1.1666666666666667
2015-12-20 13:10:00+00:00,2015-12-20 13:30:00+00:00,-11.32,0.3333333333333333
2015-12-20 14:20:00+00:00,2015-12-20 15:10:00+00:00,-11.53,0.8333333333333334
2015-12-21 05:35:00+00:00,2015-12-21 05:35:00+00:00,-10.02,0.0
2015-12-21 05:50:00+00:00,2015-12-21 05:50:00+00:00,-11.17,0.0
2015-12-21 06:15:00+00:00,2015-12-21 06:50:00+00:00,-11.44,0.5833333333333334
2015-12-21 08:20:00+00:00,2015-12-21 08:20:00+00:00,-10.59,0.0
2015-12-21 08:55:00+00:00,2015-12-21 09:20:00+00:00,-11.62,0.4166666666666667
2015-12-31 08:50:00+00:00,2015-12-31 08:50:00+00:00,-10.72,0.0
2015-12-31 11:25:00+00:00,2015-12-31 12:30:00+00:00,-11.72,1.0833333333333333
2015-12-31 13:15:00+00:00,2015-12-31 13:45:00+00:00,-11.19,0.5
2015-12-31 13:55:00+00:00,2015-12-31 13:55:00+00:00,-10.92,0.0
2015-12-31 19:25:00+00:00,2015-12-31 19:50:00+00:00,-11.73,0.4166666666666667
2016-01-01 05:15:00+00:00,2016-01-01 05:50:00+00:00,-11.61,0.5833333333333334
2016-01-06 00:25:00+00:00,2016-01-06 00:30:00+00:00,-10.06,0.08333333333333333
2016-01-18 23:50:00+00:00,2016-01-19 00:10:00+00:00,-11.04,0.3333333333333333
2016-01-20 06:35:00+00:00,2016-01-20 06:35:00+00:00,-10.06,0.0
2016-01-20 07:40:00+00:00,2016-01-20 07:40:00+00:00,-11.23,0.0
2016-01-20 07:55:00+00:00,2016-01-20 08:05:00+00:00,-11.25,0.16666666666666666
2016-01-20 08:15:00+00:00,2016-01-20 08:40:00+00:00,-10.928888888888888,0.4166666666666667
2016-01-20 09:05:00+00:00,2016-01-20 09:10:00+00:00,-11.49,0.08333333333333333
2016-01-20 09:20:00+00:00,2016-01-20 10:05:00+00:00,-11.57,0.75
2016-01-20 10:25:00+00:00,2016-01-20 10:40:00+00:00,-11.65,0.25
2016-01-20 10:55:00+00:00,2016-01-20 10:55:00+00:00,-10.09,0.0
2016-01-20 12:15:00+00:00,2016-01-20 12:15:00+00:00,-10.18,0.0
2016-01-20 14:35:00+00:00,2016-01-20 14:50:00+00:00,-10.7,0.25
2016-01-20 15:00:00+00:00,2016-01-20 15:30:00+00:00,-11.36,0.5
2016-01-20 15:40:00+00:00,2016-01-20 15:50:00+00:00,-11.14,0.16666666666666666
2016-01-20 16:00:00+00:00,2016-01-20 17:15:00+00:00,-11.52,1.25
2016-01-20 17:35:00+00:00,2016-01-20 17:35:00+00:00,-10.23,0.0
2016-01-20 17:50:00+00:00,2016-01-20 17:50:00+00:00,-10.36,0.0
2016-01-20 18:05:00+00:00,2016-01-20 18:45:00+00:00,-11.57,0.6666666666666666
2016-01-20 20:45:00+00:00,2016-01-20 20:55:00+00:00,-10.81,0.16666666666666666
2016-01-21 01:05:00+00:00,2016-01-21 01:10:00+00:00,-11.53,0.08333333333333333
2016-01-21 04:40:00+00:00,2016-01-21 04:40:00+00:00,-10.144285714285715,0.0
2016-01-21 04:55:00+00:00,2016-01-21 04:55:00+00:00,-11.58,0.0
2016-02-12 10:10:00+00:00,2016-02-12 10:15:00+00:00,-10.59,0.08333333333333333
2016-02-13 05:30:00+00:00,2016-02-13 05:50:00+00:00,-11.049999999999999,0.3333333333333333
2016-02-13 06:00:00+00:00,2016-02-13 06:10:00+00:00,-11.44,0.16666666666666666
2016-02-16 17:00:00+00:00,2016-02-16 17:00:00+00:00,-10.13,0.0
2016-03-06 15:30:00+00:00,2016-03-06 15:30:00+00:00,-10.73,0.0
2016-03-06 15:55:00+00:00,2016-03-06 15:55:00+00:00,-10.59,0.0
